url,final_url,status,depth,score,critical,warning,notice,issues,ai_status,original_title,ai_title,original_meta,ai_meta,ai_reason
https://peps.python.org/,https://peps.python.org/,200,0,86,0,2,2,title_too_long;meta_description_too_long;h1_multiple;canonical_conflict,ok,PEP 0 – Index of Python Enhancement Proposals (PEPs) | peps.python.org,Comprehensive Index of Python Enhancement Proposals,"This PEP contains the index of all Python Enhancement Proposals, known as PEPs. PEP numbers are assigned by the PEP editors, and once assigned are never changed. The version control history of the PEP texts represent their historical record.","Explore the complete index of Python Enhancement Proposals (PEPs), including their status, authors, and historical records for Python developers.",
https://peps.python.org/api,https://peps.python.org/api/,200,1,81,0,3,2,title_too_short;meta_description_missing;h1_multiple;canonical_conflict;og_missing,ok,PEPs API | peps.python.org,Access Python PEPs and Release Cycle API,,"Explore the JSON API for Python Enhancement Proposals and release cycles, offering detailed data on PEPs and Python version histories.",
https://peps.python.org/numerical,https://peps.python.org/numerical/,200,1,91,0,1,2,meta_description_missing;h1_multiple;og_missing,ok,Numerical Index | peps.python.org,Numerical Index of Python Enhancement Proposals,,"Explore the numerical index of Python Enhancement Proposals (PEPs) for guidelines, procedures, and enhancements in Python development.",
https://peps.python.org/pep-0001,https://peps.python.org/pep-0001/,200,1,96,0,0,2,meta_description_too_short;h1_multiple,ok,PEP 1 – PEP Purpose and Guidelines | peps.python.org,Understanding PEP 1: Purpose and Guidelines,Python Enhancement Proposals (PEPs),Explore the purpose and guidelines of Python Enhancement Proposals (PEPs) and their role in Python's development process.,
https://peps.python.org/pep-0002,https://peps.python.org/pep-0002/,200,1,96,0,0,2,meta_description_too_long;h1_multiple,ok,PEP 2 – Procedure for Adding New Modules | peps.python.org,PEP 2: Adding New Modules to Python,"The Python Standard Library contributes significantly to Python’s success. The language comes with “batteries included”, so it is easy for people to become productive with just the standard library alone. It is therefore important that the usefulness o...","Learn the procedure for adding new modules to the Python Standard Library, ensuring thoughtful maintenance and integration by the development team.",
https://peps.python.org/pep-0004,https://peps.python.org/pep-0004/,200,1,91,0,1,2,meta_description_too_long;h1_multiple;thin_content,ok,PEP 4 – Deprecation of Standard Modules | peps.python.org,PEP 4: Deprecating Python Modules,"When new modules were added to the standard Python library in the past, it was not possible to foresee whether they would still be useful in the future. Even though Python “Comes With Batteries Included”, batteries may discharge over time. Carrying ol...","Learn about the procedure for deprecating modules in Python's standard library, as outlined in PEP 4, to manage outdated or unused modules.",
https://peps.python.org/pep-0007,https://peps.python.org/pep-0007/,200,1,96,0,0,2,meta_description_too_long;h1_multiple,ok,PEP 7 – Style Guide for C Code | peps.python.org,PEP 7: C Code Style Guide for Python,This document gives coding conventions for the C code comprising the C implementation of Python. Please see the companion informational PEP describing style guidelines for Python code.,"Explore coding conventions for C code in Python's implementation, including standards, layout, naming, and documentation guidelines.",
https://peps.python.org/pep-0008,https://peps.python.org/pep-0008/,200,1,96,0,0,2,meta_description_too_long;h1_multiple,ok,PEP 8 – Style Guide for Python Code | peps.python.org,PEP 8: Python Code Style Guide,This document gives coding conventions for the Python code comprising the standard library in the main Python distribution. Please see the companion informational PEP describing style guidelines for the C code in the C implementation of Python.,"Explore PEP 8 for Python coding conventions, enhancing code readability and consistency across the Python standard library.",
https://peps.python.org/pep-0010,https://peps.python.org/pep-0010/,200,1,96,0,0,2,meta_description_too_long;h1_multiple,ok,PEP 10 – Voting Guidelines | peps.python.org,Python Voting Guidelines - PEP 10,"This PEP outlines the python-dev voting guidelines. These guidelines serve to provide feedback or gauge the “wind direction” on a particular proposal, idea, or feature. They don’t have a binding force.","Explore PEP 10 for Python voting guidelines, helping gauge community sentiment on proposals and ideas without binding decisions.",
https://peps.python.org/pep-0011,https://peps.python.org/pep-0011/,200,1,98,0,0,1,h1_multiple,,,,,,
https://peps.python.org/pep-0012,https://peps.python.org/pep-0012/,200,1,91,0,1,2,title_too_long;meta_description_too_long;h1_multiple,repaired,PEP 12 – Sample reStructuredText PEP Template | peps.python.org,PEP 12: reStructuredText Template Instructions,"This PEP provides a boilerplate or sample template for creating your own reStructuredText PEPs. In conjunction with the content guidelines in PEP 1, this should make it easy for you to conform your own PEPs to the format outlined below.",Discover the template for crafting reStructuredText PEPs. Follow guidelines to ensure your PEPs meet the required format and avoid automatic rejection.,
https://peps.python.org/pep-0013,https://peps.python.org/pep-0013/,200,1,96,0,0,2,meta_description_too_long;h1_multiple,ok,PEP 13 – Python Language Governance | peps.python.org,Python Governance: PEP 13 Overview,"This PEP defines the formal governance process for Python, and records how this has changed over time. Currently, governance is based around a steering council. The council has broad authority, which they seek to exercise as rarely as possible.","Explore Python's governance structure, focusing on the steering council's composition, powers, and election process as detailed in PEP 13.",
https://peps.python.org/pep-0387,https://peps.python.org/pep-0387/,200,1,96,0,0,2,meta_description_too_short;h1_multiple,ok,PEP 387 – Backwards Compatibility Policy | peps.python.org,Python's Backwards Compatibility Policy,This PEP outlines Python’s backwards compatibility policy.,"Explore Python's policy on backwards compatibility, ensuring stability for developers and applications across updates.",
https://peps.python.org/topic,https://peps.python.org/topic/,200,1,76,0,4,2,title_too_short;meta_description_missing;h1_multiple;thin_content;canonical_conflict;og_missing,repaired,Topic Index | peps.python.org,Explore the Python PEP Topic Index,,"Explore the Python Enhancement Proposals categorized by topic, including Governance, Packaging, Release, and Typing PEPs.",
https://peps.python.org/topic/governance,https://peps.python.org/topic/governance/,200,1,91,0,1,2,meta_description_missing;h1_multiple;og_missing,repaired,Governance PEPs | peps.python.org,Comprehensive Index of Python Governance PEPs,,"Explore the index of Python Enhancement Proposals focused on governance, including models, elections, and community processes.",
https://peps.python.org/topic/packaging,https://peps.python.org/topic/packaging/,200,1,91,0,1,2,meta_description_missing;h1_multiple;og_missing,ok,Packaging PEPs | peps.python.org,Index of Python Packaging PEPs,,"Explore the index of Python Enhancement Proposals focused on packaging, detailing changes and additions to PyPA specifications.",
https://peps.python.org/topic/release,https://peps.python.org/topic/release/,200,1,91,0,1,2,meta_description_missing;h1_multiple;og_missing,repaired,Release PEPs | peps.python.org,Comprehensive Index of Python Release PEPs,,"Explore the index of Python Enhancement Proposals focused on release schedules, detailing the release cycle for each Python feature version.",
