url,final_url,status,depth,score,critical,warning,notice,issues,ai_status,original_title,ai_title,original_meta,ai_meta,ai_reason
https://books.toscrape.com/,https://books.toscrape.com/,200,0,86,0,2,2,title_duplicate;meta_description_missing;canonical_missing;og_missing,ok,All products | Books to Scrape - Sandbox,Books to Scrape: Demo Site for Web Scraping,,"Explore a demo site for web scraping with a wide range of book categories including fiction, non-fiction, and more. Prices and ratings are randomly assigned.",
https://books.toscrape.com/catalogue/category/books/academic_40/index.html,https://books.toscrape.com/catalogue/category/books/academic_40/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Academic | Books to Scrape - Sandbox,Academic Books Collection | Books to Scrape,,Explore a selection of academic books on this demo site for web scraping. Prices and ratings are randomly assigned for practice purposes.,
https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html,https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html,200,1,91,0,1,2,meta_description_missing;canonical_missing;og_missing,ok,Add a comment | Books to Scrape - Sandbox,Add Comments on Books | Demo Web Scraping Site,,Explore a variety of book genres and add your comments on this demo site for web scraping. Prices and ratings are randomly assigned.,
https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html,https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Adult Fiction | Books to Scrape - Sandbox,Explore Adult Fiction Books | Books to Scrape,,Discover a variety of adult fiction books on this demo site for web scraping. Prices and ratings are randomly assigned for practice purposes.,
https://books.toscrape.com/catalogue/category/books/art_25/index.html,https://books.toscrape.com/catalogue/category/books/art_25/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Art | Books to Scrape - Sandbox,Art Books Collection | Books to Scrape,,"Explore a curated collection of art books, including 'Wall and Piece' and 'The Story of Art', available on Books to Scrape.",
https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Autobiography | Books to Scrape - Sandbox,Explore Autobiography Books | Books to Scrape,,Discover a selection of autobiography books available on Books to Scrape. This demo site offers a variety of titles for web scraping practice.,
https://books.toscrape.com/catalogue/category/books/biography_36/index.html,https://books.toscrape.com/catalogue/category/books/biography_36/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Biography | Books to Scrape - Sandbox,Explore Biography Books | Books to Scrape,,Discover a variety of biography books available for web scraping practice. Prices and ratings are randomly assigned on this demo site.,
https://books.toscrape.com/catalogue/category/books/business_35/index.html,https://books.toscrape.com/catalogue/category/books/business_35/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Business | Books to Scrape - Sandbox,Explore Business Books | Books to Scrape,,"Discover a range of business books including memoirs and guides on entrepreneurship, available for browsing on Books to Scrape.",
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,200,1,91,0,1,2,meta_description_missing;canonical_missing;og_missing,ok,Childrens | Books to Scrape - Sandbox,Children's Books Collection | Books to Scrape,,Explore a wide range of children's books available on Books to Scrape. Find popular titles and new releases for young readers.,
https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html,https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html,200,1,86,0,2,2,meta_description_missing;thin_content;canonical_missing;og_missing,ok,Christian Fiction | Books to Scrape - Sandbox,Explore Christian Fiction Books Online,,Discover a selection of Christian fiction books on our demo site. Browse titles like 'Redeeming Love' and 'If I Run' with randomly assigned prices.,
